Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,5271,0,4800.0,4934.375667161482,2794.8320630239323,8265.068616019562,10251.547334471637,29.48402716505467,0.0,4800,5200,5500,5800,6300,6900,7200,7400,8100,8300,8300
GET,/cart,10067,0,4100.0,4173.333669294263,567.7794130169787,8712.840618973132,12389.581007251416,56.31107977055689,0.0,4100,4500,4800,5000,5600,6200,6700,7100,7900,8400,8700
POST,/cart,9708,0,5600.0,5635.236691858494,929.6695220400579,10273.987382999621,17399.464256283478,54.3029663666004,0.0,5600,6000,6300,6500,7100,7600,8100,8500,9200,10000,10000
POST,/cart/checkout,3168,0,3400.0,3410.2120888241916,833.0601509660482,7307.685077015776,6562.53630050505,17.720621904551923,0.0,3400,3600,3800,3900,4100,4300,4500,4600,5900,7300,7300
GET,/product/0PUK6V6EV0,4872,0,3800.0,3755.289284114761,562.5807420001365,7075.342517986428,7692.109811165846,27.25216853503061,0.0,3800,4000,4100,4200,4400,4600,4900,5100,5800,7100,7100
GET,/product/1YMWWN1N4O,4852,0,3800.0,3759.192069303279,677.5611760094762,6920.30626302585,7710.291838417147,27.140295921996824,0.0,3800,4000,4100,4200,4500,4600,4900,5100,6400,6900,6900
GET,/product/2ZYFJ3GM2N,4867,0,3800.0,3769.87439440831,657.272553013172,7282.3958289809525,7711.018902814876,27.224200381772164,0.0,3800,4000,4100,4200,4400,4600,4900,5100,5800,7300,7300
GET,/product/66VCHSJNUP,4843,0,3800.0,3758.676936273577,645.0969309662469,5874.393870006315,7677.764815197192,27.089953246131618,0.0,3800,4000,4100,4200,4400,4600,4900,5100,5600,5900,5900
GET,/product/6E92ZMYYFZ,4766,0,3800.0,3753.4855950584706,634.0087910066359,7526.5407169936225,7666.659672681494,26.659243685951537,0.0,3800,4000,4100,4200,4400,4600,4900,5100,6200,7500,7500
GET,/product/9SIQT8TOJO,4793,0,3800.0,3755.611720989223,559.5380140002817,6349.360396969132,7713.521593991237,26.81027171354715,0.0,3800,4000,4100,4200,4400,4600,4900,5100,5900,6300,6300
GET,/product/L9ECAV7KIM,4708,0,3800.0,3764.9690263787625,551.2743309955113,6388.556833961047,7681.2453271028035,26.334813108153554,0.0,3800,4000,4100,4200,4400,4600,4900,5100,5800,6400,6400
GET,/product/LS4PSXUNUM,4732,0,3800.0,3757.0311774927377,665.0549939949997,7373.7875780207105,7682.325232459848,26.469060243794097,0.0,3800,4000,4100,4200,4400,4600,4900,5100,5600,7400,7400
GET,/product/OLJCESPC7Z,4907,0,3800.0,3755.105577316743,548.6029699677601,6808.491256961133,7712.262074587325,27.44794560783974,0.0,3800,4000,4100,4200,4400,4600,4800,5000,5900,6800,6800
POST,/setCurrency,6667,0,5100.0,5158.5859342528165,2850.0415650196373,8936.08802196104,10277.34438278086,37.29273555481303,0.0,5100,5400,5600,5700,6100,6400,6800,7100,7800,8900,8900
,Aggregated,78221,0,4000.0,4229.442155037262,548.6029699677601,10273.987382999621,9849.715178788305,437.5393832057942,0.0,4000,4400,4800,5000,5700,6300,7000,7400,8500,9300,10000
