totalTime,avgCost,totalCost
10,5.999999999999999,0.9999999999999999
20,5.999999999999999,1.9999999999999998
30,5.999999999999999,2.9999999999999996
40,5.999999999999999,3.9999999999999996
50,5.999999999999998,4.999999999999999
60,5.999999999999999,5.999999999999999
70,5.999999999999999,6.999999999999999
80,5.999999999999999,7.999999999999999
90,5.999999999999998,8.999999999999998
100,5.999999999999998,9.999999999999998
110,5.999999999999998,10.999999999999998
120,5.999999999999999,11.999999999999998
130,5.999999999999999,12.999999999999998
140,5.999999999999999,13.999999999999998
150,5.999999999999999,14.999999999999998
