timestamp,value
1701235638.089,214226807.46666664
1701235698.089,642215298.8444444
1701235758.089,428030907.7333333
1701235818.089,428110097.0666666
1701235878.089,223370535.8222222
1701235938.089,223783139.55555552
1701235998.089,447385599.99999994
1701236058.089,447361115.02222216
1701236118.089,670831957.3333333
1701236178.089,670715903.9999999
1701236238.089,223714144.7111111
1701236298.089,76458.66666666666
1701236358.089,223950802.48888886
1701236418.089,671096103.8222221
1701236478.089,223538744.88888887
1701236538.089,669626823.111111
1701236598.089,446220788.6222222
1701236658.089,669066672.3555555
1701236718.089,668708317.8666666
1701236778.089,668037211.0222222
1701236838.089,667712989.8666666
1701236898.089,444915165.8666666
1701236958.089,666785655.4666666
1701237018.089,666409278.5777777
1701237078.089,444144207.6444444
1701237138.089,666069856.7111111
1701237198.089,443877330.48888886
1701237258.089,222596482.84444442
1701237318.089,666567566.2222221
1701237378.089,444157769.9555555
1701237438.089,443604263.8222222
1701237498.089,221979352.17777774
1701237558.089,664878648.8888888
1701237618.089,664329966.9333333
1701237678.089,443031096.88888884
1701237738.089,664349354.6666666
1701237798.089,663948310.7555555
1701237858.089,663621267.911111
1701237918.089,663106082.1333332
1701237978.089,661787079.111111
1701238038.089,661116973.511111
1701238098.089,117418.66666666666
1701238158.089,221238067.2
1701238218.089,183773.86666666664
1701238278.089,662946065.0666666
1701238338.089,221054748.44444442
1701238398.089,662773213.8666666
1701238458.089,662487859.1999999
1701238518.089,441585390.9333333
1701238578.089,441250247.11111104
1701238638.089,218262459.73333332
1701238698.089,218522055.11111107
1701238758.089,218711654.39999998
1701238818.089,218700367.6444444
1701238878.089,655538949.6888888
1701238938.089,436820559.6444444
1701238998.089,436771498.6666666
1701239058.089,655049796.2666665
1701239118.089,654731309.511111
1701239178.089,653842204.4444444
1701239238.089,435334439.8222222
