timestamp,value
1701236538.099,2527232
1701236598.099,2658304
1701236658.099,2527232
1701236718.099,2568192
1701236778.099,2572288
1701236838.099,2707456
1701236898.099,2572288
1701236958.099,2572288
1701237018.099,2572288
1701237078.099,2703360
1701237138.099,2572288
1701237198.099,2572288
1701237258.099,2703360
1701237318.099,2572288
1701237378.099,2572288
1701237438.099,2703360
1701237498.099,2572288
1701237558.099,3907584
1701237618.099,4014080
1701237678.099,3502080
1701237738.099,3502080
1701237798.099,3502080
1701237858.099,3502080
1701237918.099,3502080
1701237978.099,3633152
1701238038.099,3502080
1701238098.099,3502080
1701238158.099,3502080
1701238218.099,3502080
1701238278.099,3502080
1701238338.099,3502080
1701238398.099,3633152
1701238458.099,3633152
1701238518.099,3502080
1701238578.099,3633152
1701238638.099,3502080
1701238698.099,3502080
1701238758.099,3502080
1701238818.099,3633152
1701238878.099,3502080
1701238938.099,3633152
1701238998.099,3633152
1701239058.099,3502080
1701239118.099,3633152
1701239178.099,3633152
1701239238.099,3502080
