timestamp,value
1701236538.103,58671104
1701236598.103,58847232
1701236658.103,59224064
1701236718.103,62631936
1701236778.103,63148032
1701236838.103,65343488
1701236898.103,65470464
1701236958.103,65863680
1701237018.103,65945600
1701237078.103,66105344
1701237138.103,66134016
1701237198.103,66134016
1701237258.103,66138112
1701237318.103,66146304
1701237378.103,66150400
1701237438.103,66154496
1701237498.103,66289664
1701237558.103,66170880
1701237618.103,66310144
1701237678.103,66183168
1701237738.103,66195456
1701237798.103,66199552
1701237858.103,66203648
1701237918.103,66207744
1701237978.103,66215936
1701238038.103,66224128
1701238098.103,66199552
1701238158.103,66170880
1701238218.103,66158592
1701238278.103,66162688
1701238338.103,66150400
1701238398.103,66199552
1701238458.103,65937408
1701238518.103,65945600
1701238578.103,65957888
1701238638.103,65974272
1701238698.103,65986560
1701238758.103,66002944
1701238818.103,66002944
1701238878.103,66011136
1701238938.103,65765376
1701238998.103,65773568
1701239058.103,65773568
1701239118.103,65777664
1701239178.103,65781760
1701239238.103,65789952
