timestamp,value
1701239674.095,0.13844444444444504
1701239734.095,0.14866666666666253
1701239794.095,0.16066666666666998
1701239854.095,0.17222222222222275
1701239914.095,0.18866666666666654
1701239974.095,0.14644444444444507
1701240034.095,0.16911111111111227
1701240094.095,0.14288888888888626
1701240154.095,0.15377777777777416
1701240214.095,0.1497777777777799
1701240274.095,0.15622222222222582
1701240334.095,0.17511111111110383
1701240394.095,0.1517777777777763
1701240454.095,0.1715555555555592
1701240514.095,0.15311111111111192
1701240574.095,0.12577777777777627
1701240634.095,0.10866666666666644
1701240694.095,0.17066666666666758
1701240754.095,0.22355555555555537
1701240814.095,0.21266666666666625
1701240874.095,0.08266666666666252
1701240934.095,0.08022222222222328
1701240994.095,0.09466666666666414
1701241054.095,0.1897777777777769
1701241114.095,0.16576672666267198
1701241174.095,0.07600000000000595
1701241234.095,0.3215555555555557
1701241294.095,0.33333333333332976
1701241354.095,0.17511111111111455
1701241414.095,0.10422222222222298
1701241474.095,0.08355555555555494
