totalTime,avgCost,totalCost
10,3.5,0.5833333333333334
20,3.5,1.1666666666666667
30,3.5,1.75
40,3.5,2.3333333333333335
50,3.5000000000000004,2.916666666666667
60,3.5000000000000004,3.5000000000000004
70,3.5000000000000004,4.083333333333334
80,3.5,4.666666666666667
90,3.5,5.25
100,3.4999999999999996,5.833333333333333
110,3.4999999999999996,6.416666666666666
120,3.4999999999999996,6.999999999999999
130,3.4999999999999996,7.583333333333332
140,3.4999999999999996,8.166666666666666
150,3.5,8.75
