Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/productpage?u=normal,6123,0,420.0,476.00692836067725,105.52333295345306,2008.7407230166718,4929.4963253307205,52.296991701564,0.0,420,460,500,530,670,910,1100,1300,1800,2000,2000
GET,/productpage?u=test,6211,0,420.0,470.8618575399236,73.92620691098273,2062.6562430988997,4944.928996940911,53.04860615032076,0.0,420,460,500,530,660,860,1000,1200,1600,2100,2100
,Aggregated,12334,0,420.0,473.41603855463694,73.92620691098273,2062.6562430988997,4937.267715258635,105.34559785188475,0.0,420,460,500,530,660,890,1100,1200,1700,2100,2100
