totalTime,avgCost,totalCost
10,1.0,0.16666666666666666
20,1.0,0.3333333333333333
30,1.0,0.5
40,1.0,0.6666666666666666
50,1.0,0.8333333333333333
60,1.0,0.9999999999999999
70,0.9999999999999998,1.1666666666666665
80,1.0,1.3333333333333333
90,1.0,1.5
100,1.0,1.6666666666666667
110,1.0,1.8333333333333335
120,1.0,2.0
130,1.0,2.1666666666666665
140,0.9999999999999998,2.333333333333333
150,0.9999999999999998,2.4999999999999996
160,0.9999999999999998,2.666666666666666
170,0.9999999999999998,2.8333333333333326
180,0.9999999999999998,2.999999999999999
190,0.9999999999999996,3.1666666666666656
200,0.9999999999999996,3.333333333333332
210,0.9999999999999996,3.4999999999999987
220,0.9999999999999996,3.666666666666665
230,0.9999999999999996,3.8333333333333317
240,0.9999999999999996,3.9999999999999982
250,0.9999999999999996,4.166666666666665
260,0.9999999999999998,4.333333333333332
270,0.9999999999999998,4.499999999999999
280,0.9999999999999998,4.666666666666666
290,1.0,4.833333333333333
300,1.0,5.0
310,1.0,5.166666666666667
320,1.0000000000000002,5.333333333333334
