totalTime,avgCost,totalCost
10,5.000000000000001,0.8333333333333334
20,5.000000000000001,1.6666666666666667
30,5.0,2.5
40,5.000000000000001,3.3333333333333335
50,5.000000000000001,4.166666666666667
60,5.0,5.0
70,5.0,5.833333333333333
80,5.0,6.666666666666666
90,5.0,7.499999999999999
100,4.999999999999999,8.333333333333332
110,5.0,9.166666666666666
120,5.0,10.0
130,5.000000000000001,10.833333333333334
140,5.000000000000001,11.666666666666668
150,5.000000000000001,12.500000000000002
