totalTime,avgCost,totalCost
10,0.5,0.08333333333333333
20,0.5,0.16666666666666666
30,0.5,0.25
40,0.5,0.3333333333333333
50,0.5,0.41666666666666663
60,0.5,0.49999999999999994
70,0.4999999999999999,0.5833333333333333
80,0.5,0.6666666666666666
90,0.5,0.75
100,0.5,0.8333333333333334
110,0.5,0.9166666666666667
120,0.5,1.0
130,0.5,1.0833333333333333
140,0.4999999999999999,1.1666666666666665
150,0.4999999999999999,1.2499999999999998
160,0.4999999999999999,1.333333333333333
170,0.4999999999999999,1.4166666666666663
180,0.4999999999999999,1.4999999999999996
190,0.4999999999999998,1.5833333333333328
200,0.4999999999999998,1.666666666666666
210,0.4999999999999998,1.7499999999999993
220,0.4999999999999998,1.8333333333333326
230,0.4999999999999998,1.9166666666666659
240,0.4999999999999998,1.9999999999999991
250,0.4999999999999998,2.0833333333333326
260,0.4999999999999999,2.166666666666666
270,0.4999999999999999,2.2499999999999996
280,0.4999999999999999,2.333333333333333
290,0.5,2.4166666666666665
300,0.5,2.5
310,0.5,2.5833333333333335
320,0.5000000000000001,2.666666666666667
330,0.5000000000000001,2.7500000000000004
340,0.5000000000000001,2.833333333333334
350,0.5000000000000001,2.9166666666666674
360,0.5000000000000001,3.000000000000001
370,0.5000000000000002,3.0833333333333344
380,0.5000000000000002,3.166666666666668
390,0.5000000000000002,3.2500000000000013
400,0.5000000000000002,3.333333333333335
410,0.5000000000000002,3.4166666666666683
420,0.5000000000000003,3.5000000000000018
430,0.5000000000000003,3.5833333333333353
440,0.5000000000000003,3.6666666666666687
450,0.5000000000000003,3.750000000000002
460,0.5000000000000003,3.8333333333333357
470,0.5000000000000003,3.916666666666669
480,0.5000000000000003,4.000000000000003
490,0.5000000000000003,4.083333333333336
500,0.5000000000000002,4.166666666666669
510,0.5000000000000002,4.250000000000002
520,0.5000000000000002,4.333333333333335
530,0.5000000000000001,4.416666666666668
540,0.5000000000000001,4.500000000000001
550,0.5000000000000001,4.583333333333334
560,0.5,4.666666666666667
570,0.5,4.75
580,0.5,4.833333333333333
590,0.4999999999999999,4.916666666666666
600,0.4999999999999999,4.999999999999999
610,0.4999999999999999,5.083333333333332
620,0.4999999999999999,5.166666666666665
630,0.4999999999999998,5.249999999999998
