Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3255,0,1900.0,2128.0868558846155,1010.9032359905541,4837.378605036065,10272.836559139785,18.35141546012882,0.0,1900,2000,2100,2200,3200,3700,4600,4700,4800,4800,4800
GET,/cart,8405,0,1200.0,1307.0505771676583,401.959620998241,3048.510425025597,13602.59500297442,47.38668108828963,0.0,1200,1400,1500,1600,1900,2100,2300,2400,2800,3000,3000
POST,/cart,8251,0,1700.0,1732.4382805926978,771.413560025394,3969.584072008729,17908.76511937947,46.51844207727278,0.0,1700,1800,2000,2100,2300,2500,2700,2900,3600,4000,4000
POST,/cart/checkout,2822,0,1100.0,1083.135474606608,443.3481199666858,2204.4138360070065,6562.0028348688875,15.91019798110093,0.0,1100,1100,1200,1200,1300,1400,1600,1700,2200,2200,2200
GET,/product/0PUK6V6EV0,4041,0,1100.0,1135.2290409848515,648.1028640409932,2325.2379751065746,7729.585003711953,22.782817165708313,0.0,1100,1200,1200,1300,1300,1400,1700,1800,2300,2300,2300
GET,/product/1YMWWN1N4O,3963,0,1100.0,1132.2230423855933,636.0020579304546,2298.496571020223,7751.604340146354,22.343059744543936,0.0,1100,1200,1200,1200,1300,1400,1700,1800,2200,2300,2300
GET,/product/2ZYFJ3GM2N,3996,0,1100.0,1132.998061786156,644.5133900269866,2383.735863957554,7746.671671671672,22.529110961190405,0.0,1100,1200,1200,1200,1300,1400,1700,1800,2200,2400,2400
GET,/product/66VCHSJNUP,4132,0,1100.0,1131.9402548237024,662.9851789912209,2267.6320750033483,7714.897628267183,23.295867490400088,0.0,1100,1200,1200,1200,1300,1400,1700,1800,2100,2300,2300
GET,/product/6E92ZMYYFZ,4040,0,1100.0,1130.6248715943552,651.8095859792084,2272.1010870300233,7702.514108910891,22.77717925005236,0.0,1100,1200,1200,1200,1300,1400,1700,1800,2100,2300,2300
GET,/product/9SIQT8TOJO,4033,0,1100.0,1132.8416979841843,680.7121280580759,2289.760957006365,7754.778576741879,22.737713840460685,0.0,1100,1200,1200,1200,1300,1400,1600,1800,2200,2300,2300
GET,/product/L9ECAV7KIM,3997,0,1100.0,1134.3171998560729,686.5744449896738,2299.7028429526836,7721.910182636978,22.534748876846358,0.0,1100,1200,1200,1200,1300,1400,1700,1800,2200,2300,2300
GET,/product/LS4PSXUNUM,4121,0,1100.0,1133.193967835781,680.3509200690314,2295.883599901572,7721.089056054356,23.2338504181846,0.0,1100,1200,1200,1200,1300,1400,1700,1800,2200,2300,2300
GET,/product/OLJCESPC7Z,4075,0,1100.0,1134.778744887098,653.5882520256564,2383.5103830788285,7751.6964417177915,22.974506298010734,0.0,1100,1200,1200,1200,1300,1400,1700,1800,2100,2400,2400
POST,/setCurrency,5555,0,1900.0,1910.2643229009223,1028.2379190903157,4634.840167011134,10283.760216021603,31.318621468821995,0.0,1900,2000,2000,2100,2200,2300,2400,2600,4500,4600,4600
,Aggregated,64686,0,1200.0,1346.7939303179794,401.959620998241,4837.378605036065,10089.205052097826,364.6942121210116,0.0,1200,1400,1600,1700,2000,2100,2400,2900,4600,4800,4800
