Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3967,0,7400.0,7315.043765873956,4130.21752901841,11818.626003980171,10240.55180236955,22.293171277339095,0.0,7400,8100,8500,8700,9300,9900,10000,10000,11000,12000,12000
GET,/cart,6161,0,6200.0,6359.058168410623,999.1081539774314,12705.898565007374,11368.666937185522,34.62269428779586,0.0,6200,6800,7300,7600,8500,9200,10000,11000,12000,13000,13000
POST,/cart,5835,0,8800.0,8831.938873860941,2062.8291600150988,16442.207178042736,17037.031533847472,32.79068676664321,0.0,8800,9400,9900,10000,11000,12000,13000,14000,15000,16000,16000
POST,/cart/checkout,1849,0,4900.0,4907.197682079804,1732.1005330304615,8402.363658999093,6561.543537047052,10.39074204481976,0.0,4900,5300,5500,5600,6000,6400,6800,7000,8000,8400,8400
GET,/product/0PUK6V6EV0,3129,0,6300.0,6236.762945937639,1256.3900210079737,10196.35219097836,7607.121124960051,17.583900410081682,0.0,6300,6700,7000,7100,7600,8000,8500,8800,9900,10000,10000
GET,/product/1YMWWN1N4O,3026,0,6200.0,6230.414749796957,1281.5347469877452,10397.445558977779,7622.619629874422,17.00507594787701,0.0,6200,6700,6900,7100,7500,7900,8400,8600,9300,10000,10000
GET,/product/2ZYFJ3GM2N,2944,0,6300.0,6259.409138069873,1214.3589689512737,9696.723752014805,7625.386888586957,16.544264240102418,0.0,6300,6700,7000,7200,7600,8000,8400,8700,9500,9700,9700
GET,/product/66VCHSJNUP,2997,0,6300.0,6237.607488384075,1245.465548010543,10132.456145016477,7595.622288955622,16.842105953664046,0.0,6300,6700,7000,7100,7600,8000,8500,8700,9500,10000,10000
GET,/product/6E92ZMYYFZ,3042,0,6300.0,6200.30624480157,1265.9445430035703,10118.416178971529,7575.87738330046,17.094990427442784,0.0,6300,6700,6900,7100,7500,7900,8300,8700,9400,10000,10000
GET,/product/9SIQT8TOJO,2932,0,6300.0,6247.551647974459,1200.5389059777372,9666.508305992465,7623.286834924966,16.47682838042809,0.0,6300,6700,7000,7200,7600,8000,8500,8800,9500,9700,9700
GET,/product/L9ECAV7KIM,3022,0,6300.0,6245.54707106294,1265.216187981423,10090.667327982374,7587.266710787558,16.982597327985566,0.0,6300,6700,7000,7100,7600,8000,8500,8800,9700,10000,10000
GET,/product/LS4PSXUNUM,2957,0,6300.0,6239.431211783518,1273.0503110215068,10216.933818999678,7590.226580994251,16.61731975474961,0.0,6300,6700,7000,7100,7600,8000,8500,8800,9300,10000,10000
GET,/product/OLJCESPC7Z,2898,0,6200.0,6225.885210290371,1265.0522989570163,9868.974250974134,7620.881642512078,16.285760111350818,0.0,6200,6700,7000,7100,7500,8000,8300,8600,9200,9900,9900
POST,/setCurrency,4057,0,7900.0,7961.826436662537,4386.36199303437,14751.595701964106,10270.520335223071,22.798940224896572,0.0,7900,8500,8800,9100,9700,10000,11000,11000,13000,15000,15000
,Aggregated,48816,0,6600.0,6742.492703976955,999.1081539774314,16442.207178042736,9603.717613077679,274.32907715517655,0.0,6600,7200,7600,8000,8900,9700,11000,11000,14000,16000,16000
