Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4015,0,2400.0,2701.925728792072,1221.597437048331,4667.645732057281,10265.951183063511,22.606485045506574,0.0,2400,2900,3400,3700,4100,4400,4600,4600,4700,4700,4700
GET,/cart,9266,0,2300.0,2376.486455666284,534.1528920689598,5129.3220079969615,13276.334340600044,52.17227657077557,0.0,2300,2600,2700,2900,3200,3500,3700,3900,4600,5100,5100
POST,/cart,9124,0,3200.0,3259.045188268877,834.133891039528,7142.852908931673,17743.84535291539,51.372744596563386,0.0,3200,3500,3600,3700,4100,4400,4900,5300,6500,7100,7100
POST,/cart/checkout,2971,0,2000.0,2080.860130473904,841.0843069432303,4618.346899049357,6562.692359474924,16.728235882988802,0.0,2000,2200,2300,2400,2500,2800,3100,3400,4300,4600,4600
GET,/product/0PUK6V6EV0,4388,0,2200.0,2221.652313887227,704.3650429695845,3874.1731429472566,7716.983819507748,24.70666410452873,0.0,2200,2300,2400,2500,2600,2700,2900,3100,3600,3900,3900
GET,/product/1YMWWN1N4O,4366,0,2200.0,2208.437387109631,697.3822040017694,3604.8991949064657,7738.273476866697,24.58279295359445,0.0,2200,2300,2400,2500,2600,2700,2900,3000,3500,3600,3600
GET,/product/2ZYFJ3GM2N,4487,0,2200.0,2214.0693212921424,707.7536459546536,3881.3575470121577,7734.532427011366,25.264084283733002,0.0,2200,2300,2400,2500,2600,2800,2900,3100,3600,3900,3900
GET,/product/66VCHSJNUP,4341,0,2200.0,2217.8901868965786,686.9422650197521,3877.319945022464,7705.456346463949,24.442030282078218,0.0,2200,2300,2400,2500,2600,2800,2900,3100,3600,3900,3900
GET,/product/6E92ZMYYFZ,4427,0,2200.0,2221.316006733717,708.2292180275545,4022.5553730269894,7691.158798283262,24.92625387209405,0.0,2200,2300,2400,2500,2600,2800,3000,3200,3500,4000,4000
GET,/product/9SIQT8TOJO,4491,0,2200.0,2211.44382289295,695.8201869856566,3686.169345979579,7743.374081496326,25.2866063111756,0.0,2200,2300,2400,2500,2600,2700,2900,3100,3400,3700,3700
GET,/product/L9ECAV7KIM,4444,0,2200.0,2214.789468189775,667.9344290168956,3874.1969189140946,7707.66201620162,25.021972488725087,0.0,2200,2300,2400,2500,2600,2800,2900,3100,3600,3900,3900
GET,/product/LS4PSXUNUM,4333,0,2200.0,2212.158433103696,670.0771080795676,3879.8561429139227,7706.476113547196,24.396986227193025,0.0,2200,2300,2400,2500,2600,2800,2900,3100,3600,3900,3900
GET,/product/OLJCESPC7Z,4426,0,2200.0,2213.2496341591445,726.9182750023901,3764.1470639500767,7740.374830546769,24.9206233652334,0.0,2200,2300,2400,2500,2600,2700,2900,3000,3500,3800,3800
POST,/setCurrency,6073,0,2300.0,2389.0631351909783,1245.8342280006036,4692.504942999221,10283.416598056974,34.19406816472265,0.0,2300,2500,2600,2700,3200,3500,3900,4200,4500,4700,4700
,Aggregated,71152,0,2300.0,2406.641383722456,534.1528920689598,7142.852908931673,10043.427085675736,400.62182414891254,0.0,2300,2500,2600,2800,3200,3600,4100,4400,5500,6600,7100
