Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3169,0,3900.0,3908.1484872804326,2433.0787640064955,5521.8076900346205,10257.107604922689,17.873186004154746,0.0,3900,4100,4300,4300,4600,4800,5200,5300,5500,5500,5500
GET,/cart,6566,0,3200.0,3370.4966358112106,522.9267909890041,7057.072788942605,12838.88151081328,37.03229387923006,0.0,3200,3600,3900,4100,4600,5000,5600,5900,6400,7100,7100
POST,/cart,6511,0,4500.0,4546.404713886527,1148.7467209808528,8247.045640950091,17579.077100291815,36.7220934279115,0.0,4500,4800,5100,5200,5700,6200,6600,6800,7400,8200,8200
POST,/cart/checkout,2094,0,2300.0,2357.347861561738,1071.7371770879254,3862.042007036507,6562.490926456542,11.810177182928381,0.0,2300,2500,2600,2700,2800,3000,3200,3300,3800,3900,3900
GET,/product/0PUK6V6EV0,3199,0,3000.0,2967.8261877038203,867.889488930814,4402.576647000387,7708.270084401375,18.042386250328505,0.0,3000,3100,3200,3300,3500,3700,3800,3900,4200,4400,4400
GET,/product/1YMWWN1N4O,3229,0,3000.0,2975.589039724397,912.3456579400226,4207.176871947013,7729.8615670486215,18.211586496502264,0.0,3000,3100,3200,3300,3500,3700,3800,3900,4100,4200,4200
GET,/product/2ZYFJ3GM2N,3153,0,3000.0,2978.6413492583392,673.203265061602,4425.259534968063,7726.6790358388835,17.782945872862076,0.0,3000,3200,3300,3300,3500,3700,3800,3900,4300,4400,4400
GET,/product/66VCHSJNUP,3098,0,3000.0,2975.7639585880347,705.1711350213736,4407.817943021655,7694.009360877986,17.472745421543518,0.0,3000,3100,3200,3300,3500,3700,3800,3900,4300,4400,4400
GET,/product/6E92ZMYYFZ,3088,0,3000.0,2980.21439055744,985.2832020260394,4415.937955956906,7684.180051813471,17.4163453394856,0.0,3000,3200,3300,3300,3500,3600,3900,4000,4300,4400,4400
GET,/product/9SIQT8TOJO,3122,0,3000.0,2986.571619289898,871.8814509920776,4578.339183935896,7731.515054452274,17.608105618482526,0.0,3000,3200,3300,3300,3500,3600,3800,3900,4200,4600,4600
GET,/product/L9ECAV7KIM,3321,0,3000.0,2983.2001151017876,609.2664019670337,4388.684317935258,7700.142426979825,18.730467251435126,0.0,3000,3200,3300,3300,3500,3700,3800,3900,4200,4400,4400
GET,/product/LS4PSXUNUM,3087,0,3000.0,2980.6106837698585,954.1122920345515,4414.525336935185,7696.424684159378,17.410705331279807,0.0,3000,3200,3300,3300,3500,3600,3800,4000,4200,4400,4400
GET,/product/OLJCESPC7Z,3155,0,3000.0,2983.164138326987,992.5484689883888,4426.045640022494,7732.151505546751,17.79422588927366,0.0,3000,3100,3200,3300,3500,3700,3800,4000,4300,4400,4400
POST,/setCurrency,4306,0,4000.0,3992.416076684732,2322.8639350272715,6140.419451985508,10280.577566186716,24.285875334140215,0.0,4000,4200,4300,4400,4600,4800,5000,5200,5600,6100,6100
,Aggregated,51098,0,3200.0,3346.60680969798,522.9267909890041,8247.045640950091,9955.018102469763,288.19313929955797,0.0,3200,3500,3800,4000,4500,4900,5500,5900,6900,7500,8200
