Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3980,0,8200.0,7559.965577597643,2399.548180983402,11399.080081959255,10240.829899497487,22.14010932048151,0.0,8200,8600,9000,9100,9500,10000,10000,11000,11000,11000,11000
GET,/cart,5953,0,6300.0,6498.307750786672,509.5785360317677,13307.900410029106,11300.279018982026,33.1155956745795,0.0,6300,7100,7500,7800,8700,9400,10000,11000,12000,13000,13000
POST,/cart,5810,0,9000.0,9056.386851130206,1058.394453022629,15268.89006595593,17035.97142857143,32.32010933467276,0.0,9000,9600,10000,10000,11000,12000,13000,13000,15000,15000,15000
POST,/cart/checkout,1851,0,5200.0,5176.06738377184,814.266683999449,7650.293287937529,6561.915180983252,10.296819686485245,0.0,5200,5500,5700,5800,6000,6300,6500,7000,7300,7700,7700
GET,/product/0PUK6V6EV0,2882,0,6500.0,6376.425046129079,830.8886530576274,9019.855285063386,7561.882026370576,16.03210931196676,0.0,6500,6800,7000,7100,7500,7900,8200,8400,9000,9000,9000
GET,/product/1YMWWN1N4O,2896,0,6500.0,6392.4064696590785,871.1095689795911,9785.780120990239,7573.757251381216,16.109989093496093,0.0,6500,6800,7000,7100,7500,7800,8200,8500,9400,9800,9800
GET,/product/2ZYFJ3GM2N,3015,0,6500.0,6348.698550060234,933.8088979711756,9424.715614994057,7588.957545605307,16.771967236495414,0.0,6500,6800,7000,7100,7400,7800,8100,8300,9000,9400,9400
GET,/product/66VCHSJNUP,2892,0,6500.0,6426.9127656302,869.2707889713347,9514.65238200035,7551.343015214385,16.087737727344855,0.0,6500,6900,7000,7200,7500,7900,8300,8500,9400,9500,9500
GET,/product/6E92ZMYYFZ,2914,0,6500.0,6396.752278646844,908.2005030941218,9445.513462997042,7533.40768702814,16.210120241176664,0.0,6500,6800,7000,7100,7500,7800,8100,8300,9000,9400,9400
GET,/product/9SIQT8TOJO,2889,0,6500.0,6373.588915146807,924.1010580444708,9828.317330102436,7583.973347178955,16.071049202731427,0.0,6500,6800,7000,7100,7500,7800,8300,8500,9500,9800,9800
GET,/product/L9ECAV7KIM,2927,0,6500.0,6390.009091436508,859.3632450792938,9476.759660057724,7546.91971301674,16.282437181168184,0.0,6500,6800,7000,7200,7500,7800,8100,8400,9000,9500,9500
GET,/product/LS4PSXUNUM,2852,0,6500.0,6409.032192737903,832.3799220379442,9445.271139033139,7549.611150070126,15.865224065832479,0.0,6500,6800,7000,7200,7500,7800,8200,8500,9400,9400,9400
GET,/product/OLJCESPC7Z,2977,0,6500.0,6378.731400588149,828.1333949416876,9485.215613967739,7579.150151158885,16.560579258058656,0.0,6500,6800,7000,7200,7500,7800,8200,8400,9400,9500,9500
POST,/setCurrency,3925,0,8700.0,8689.275624413847,3758.7296220008284,12065.156397991814,10269.326369426752,21.83415303590199,0.0,8700,9100,9400,9600,10000,10000,11000,11000,12000,12000,12000
,Aggregated,47763,0,6800.0,6966.046154616355,509.5785360317677,15268.89006595593,9588.0557963277,265.6980003703915,0.0,6800,7400,7900,8300,9200,10000,11000,12000,14000,15000,15000
