Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2660,0,3800.0,3930.109070146687,1172.5033740513027,6933.1472490448505,10251.055639097744,14.980303379628877,0.0,3800,4500,4800,5000,5800,6300,6700,6900,6900,6900,6900
GET,/cart,4979,0,4400.0,4402.816245385703,830.4285099729896,9770.95236396417,12208.666800562361,28.04019944630533,0.0,4400,4800,5100,5200,5700,6200,6800,7200,8700,9800,9800
POST,/cart,4729,0,6200.0,6193.087029242891,1380.9443319914863,12615.789958974347,17360.06534150983,26.63227619634021,0.0,6200,6600,6900,7100,7600,8100,8700,9300,12000,13000,13000
POST,/cart/checkout,1566,0,3600.0,3662.9197315606116,1616.0732719581574,6116.135770920664,6561.871647509579,8.819231237781512,0.0,3600,3900,4100,4200,4600,4900,5200,5400,6000,6100,6100
GET,/product/0PUK6V6EV0,2322,0,4300.0,4305.7409616150735,795.9385790163651,6950.686660944484,7537.30060292851,13.076791145676035,0.0,4300,4600,4800,4900,5300,5500,5900,6100,6700,7000,7000
GET,/product/1YMWWN1N4O,2326,0,4300.0,4285.520823987814,842.6733779488131,6723.124842974357,7544.892089423904,13.099317917675476,0.0,4300,4600,4800,4900,5300,5600,5900,6200,6700,6700,6700
GET,/product/2ZYFJ3GM2N,2405,0,4300.0,4308.306788843076,952.0893250592053,7058.629403938539,7556.940956340956,13.544221664664455,0.0,4300,4600,4800,4900,5300,5500,5900,6200,6700,7100,7100
GET,/product/66VCHSJNUP,2335,0,4300.0,4294.437597563887,805.3372490685433,6899.199077044614,7525.561027837259,13.15000315467422,0.0,4300,4600,4800,4900,5300,5600,5900,6100,6600,6900,6900
GET,/product/6E92ZMYYFZ,2411,0,4300.0,4290.289148891445,843.781266012229,6935.632232925855,7502.727084197429,13.578011822663617,0.0,4300,4600,4800,4900,5200,5500,5900,6000,6600,6900,6900
GET,/product/9SIQT8TOJO,2369,0,4300.0,4267.833196192993,799.4693010114133,7118.318630033173,7553.593921485859,13.341480716669476,0.0,4300,4600,4800,4900,5300,5500,5800,6000,6400,7100,7100
GET,/product/L9ECAV7KIM,2383,0,4300.0,4295.766091303529,955.2171910181642,7501.040823990479,7514.033151489719,13.420324418667525,0.0,4300,4600,4800,4900,5300,5500,5800,6000,6700,7500,7500
GET,/product/LS4PSXUNUM,2427,0,4300.0,4317.918097564463,936.4237110130489,6885.598776047118,7518.790688092295,13.668118910661384,0.0,4300,4600,4800,5000,5300,5600,5900,6100,6600,6900,6900
GET,/product/OLJCESPC7Z,2372,0,4300.0,4322.677861756414,823.1278469320387,7045.140132075176,7549.480607082631,13.358375795669058,0.0,4300,4600,4900,5000,5300,5600,5900,6100,6500,7000,7000
POST,/setCurrency,3268,0,3400.0,3498.450137744342,1320.805419003591,6918.679582071491,10275.39993880049,18.40437272354405,0.0,3400,3900,4100,4300,4700,5200,5900,6200,6900,6900,6900
,Aggregated,38552,0,4400.0,4425.479958927747,795.9385790163651,12615.789958974347,9723.205514629592,217.11302853062122,0.0,4400,4800,5000,5200,5900,6600,7300,7800,9600,12000,13000
