totalTime,avgCost,totalCost
10,0.5,0.08333333333333333
20,0.5,0.16666666666666666
30,0.5,0.25
40,0.5,0.3333333333333333
50,0.5,0.41666666666666663
60,0.5,0.49999999999999994
70,0.4999999999999999,0.5833333333333333
80,0.5,0.6666666666666666
90,0.5,0.75
100,0.5,0.8333333333333334
110,0.5,0.9166666666666667
120,0.5,1.0
130,0.5,1.0833333333333333
140,0.4999999999999999,1.1666666666666665
150,0.4999999999999999,1.2499999999999998
160,0.4999999999999999,1.333333333333333
170,0.4999999999999999,1.4166666666666663
180,0.4999999999999999,1.4999999999999996
190,0.4999999999999998,1.5833333333333328
200,0.4999999999999998,1.666666666666666
210,0.4999999999999998,1.7499999999999993
