Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,5169,0,5500.0,5470.388208358169,2874.4138409383595,8434.798758011311,10250.180886051461,28.9553619144818,0.0,5500,5900,6100,6400,6800,7300,7600,7800,8300,8400,8400
GET,/cart,9031,0,4300.0,4379.447667063896,520.0115980114788,9057.291487930343,12273.099546008194,50.58925777707199,0.0,4300,4700,5100,5300,5900,6400,7000,7400,8300,9100,9100
POST,/cart,9048,0,6000.0,6054.105422496281,879.410658031702,10117.060811957344,17354.70181255526,50.68448725135061,0.0,6000,6500,6800,7000,7500,7900,8500,8800,9500,10000,10000
POST,/cart/checkout,2875,0,3300.0,3332.4277918016483,861.3381250761449,5292.702449019998,6562.176695652174,16.104984620649095,0.0,3300,3600,3700,3800,4100,4300,4600,4800,5200,5300,5300
GET,/product/0PUK6V6EV0,4508,0,4000.0,3987.083564808204,682.2373439790681,6336.060460074805,7670.006654835847,25.252615885177782,0.0,4000,4300,4400,4500,4800,5000,5300,5500,6000,6300,6300
GET,/product/1YMWWN1N4O,4456,0,4000.0,3962.2351831483807,555.5950300768018,6367.786664050072,7689.940305206464,24.961325728560823,0.0,4000,4300,4400,4500,4800,5000,5200,5400,6200,6400,6400
GET,/product/2ZYFJ3GM2N,4470,0,4000.0,3949.095618870356,616.5495709283277,6331.739161047153,7685.603355704698,25.03975000149616,0.0,4000,4300,4400,4500,4800,5000,5200,5400,6100,6300,6300
GET,/product/66VCHSJNUP,4525,0,4000.0,3984.1019585764457,666.1296200472862,6515.268380055204,7655.027624309392,25.3478453594564,0.0,4000,4300,4400,4500,4700,5000,5200,5400,6000,6500,6500
GET,/product/6E92ZMYYFZ,4452,0,4000.0,3958.074101850864,559.7585629438981,6401.689680991694,7639.967430368374,24.938918793436443,0.0,4000,4300,4400,4500,4800,5000,5200,5400,5900,6400,6400
GET,/product/9SIQT8TOJO,4489,0,4000.0,3964.478046276283,735.8873579651117,6289.97598902788,7693.107150813099,25.14618294333697,0.0,4000,4300,4400,4500,4800,5000,5200,5500,6000,6300,6300
GET,/product/L9ECAV7KIM,4543,0,4000.0,3979.2490700521566,596.2415940593928,6438.046224066056,7654.835791327317,25.448676567516117,0.0,4000,4300,4400,4500,4800,5000,5200,5400,6200,6400,6400
GET,/product/LS4PSXUNUM,4526,0,4000.0,3953.901615616061,705.8265100931749,6292.00325300917,7654.00751215201,25.3534470932375,0.0,4000,4200,4400,4500,4700,4900,5200,5400,6000,6300,6300
GET,/product/OLJCESPC7Z,4731,0,4000.0,3966.049366585567,734.2304890044034,6444.879698101431,7689.558655675333,26.50180251836204,0.0,4000,4300,4400,4500,4700,4900,5200,5500,6100,6400,6400
POST,/setCurrency,6296,0,5800.0,5818.396558094087,2885.4830170748755,8603.628796059638,10276.74952350699,35.268515885776246,0.0,5800,6100,6300,6400,6700,7000,7400,7600,8200,8600,8600
,Aggregated,73119,0,4300.0,4517.054324202716,520.0115980114788,10117.060811957344,9800.417470151397,409.59317233991,0.0,4300,4800,5200,5500,6300,6800,7400,7800,8800,9600,10000
